community,adi_author,titles_papers
80,46340,Intercausal Reasoning with Uninstantiated Ancestor Nodes;Causality in Bayesian Belief Networks;Importance Sampling in Bayesian Networks: An Influence-Based Approximation Strategy for Importance Functions;Confidence Inference in Bayesian Networks;Qualitative Propagation and Scenario-based Explanation of Probabilistic Reasoning;Computational Advantages of Relevance Reasoning in Bayesian Belief Networks;Learning Why Things Change: The Difference-Based Causality Learner;Some Properties of Joint Probability Distributions;Causal Mechanism-based Model Construction;Computational Investigation of Low-Discrepancy Sequences in Simulation Algorithms for Bayesian Networks;User Interface Tools for Navigation in Conditional Probability Tables and Elicitation of Probabilities in Bayesian Networks
80,105236,Qualitative Propagation and Scenario-based Explanation of Probabilistic Reasoning;Knowledge Engineering for Large Belief Networks;Intercausal Reasoning with Uninstantiated Ancestor Nodes;A Comparison of Decision Analysis and Expert Rules for Sequential Diagnosis;Efficient Estimation of the Value of Information in Monte Carlo Models;Search-based Methods to Bound Diagnostic Probabilities in Very Large Belief Nets;An Experimental Comparison of Numerical and Qualitative Probabilistic Reasoning
80,31118,On Bayesian Network Approximation by Edge Deletion;On the Relation between Kappa Calculus and Probabilistic Reasoning;Argument Calculus and Networks;Exploiting Evidence in Probabilistic Inference;On the Robustness of Most Probable Explanations;A Variational Approach for Approximating Bayesian Networks by Edge Deletion;A Standard Approach for Optimizing Belief Network Inference using Query DAGs;Approximating MAP using Local Search;Any-Space Probabilistic Inference;Objection-Based Causal Networks;A Differential Approach to Inference in Bayesian Networks;Action Networks: A Framework for Reasoning about Actions and Change under Uncertainty;Approximating the Partition Function by Deleting and then Correcting for Model Edges;EDML: A Method for Learning Parameters in Bayesian Networks;Node Splitting: A Scheme for Generating Upper Bounds in Bayesian Networks
80,105241,Tradeoffs in Constructing and Evaluating Temporal Influence Diagrams;Dynamic Network Updating Techniques For Diagnostic Reasoning;An Experimental Comparison of Numerical and Qualitative Probabilistic Reasoning;A Standard Approach for Optimizing Belief Network Inference using Query DAGs;Knowledge Engineering for Large Belief Networks;What is an Optimal Diagnosis?
80,105296,Symbolic Probabilistic Inference with Evidence Potential;Symbolic Probabilistic Inference with Continuous Variables;An Architecture for Probabilistic Concept-Based Information Retrieval;Refinement and Coarsening of Bayesian Networks;Backward Simulation in Bayesian Networks
80,140360,An Approximate Nonmyopic Computation for Value of Information;Knowledge Engineering for Large Belief Networks
80,31116,Node Splitting: A Scheme for Generating Upper Bounds in Bayesian Networks;A Variational Approach for Approximating Bayesian Networks by Edge Deletion;Approximating the Partition Function by Deleting and then Correcting for Model Edges;EDML: A Method for Learning Parameters in Bayesian Networks;On Bayesian Network Approximation by Edge Deletion
80,140336,An Experimental Comparison of Numerical and Qualitative Probabilistic Reasoning;Backward Simulation in Bayesian Networks
80,46339,Learning Why Things Change: The Difference-Based Causality Learner;Efficient inference in persistent Dynamic Bayesian Networks
80,105297,An Architecture for Probabilistic Concept-Based Information Retrieval
104,58550,Exact Inference in Networks with Discrete Children of Continuous Parents;Expectation Propagation for Continuous Time Bayesian Networks;Object-Oriented Bayesian Networks;Convex Point Estimation using Undirected Bayesian Transfer Hierarchies;Policy Iteration for Factored MDPs;Generating New Beliefs From Old;Nonuniform Dynamic Discretization in Hybrid Networks;Utilities as Random Variables: Density Estimation and Structure Discovery;Being Bayesian about Network Structure;Continuous Time Markov Networks;Modeling Latent Variable Uncertainty for Loss-based Learning;Probabilistic Models for Agents' Beliefs and Decisions;Constrained Approximate Maximum Entropy Learning of Markov Random Fields;Ordering-Based Search: A Simple and Effective Algorithm for Learning Bayesian Networks;MAP Estimation of Semi-Metric MRFs via Hierarchical Graph Cuts;Residual Belief Propagation: Informed Scheduling for Asynchronous Message Passing;Update Rules for Parameter Estimation in Bayesian Networks;Reasoning at the Right Time Granularity;SPOOK: A System for Probabilistic Object-Oriented Knowledge Representation;Probability Estimation in Face of Irrelevant Information;Projected Subgradient Methods for Learning Sparse Gaussians;Expectation Maximization and Complex Duration Distributions for Continuous Time Bayesian Networks
104,31111,Active Learning for Matching Problems;Regret-based Reward Elicitation for Markov Decision Processes;Approximate Linear Programming for First-order MDPs;Modal Logics for Qualitative Possibility and Beliefs;The Probability of a Possibility: Adding Uncertainty to Default Rules;Structured Arc Reversal and Simulation of Dynamic Probabilistic Networks;A Framework for Optimizing Paper Matching;Correlated Action Effects in Decision Theoretic Regression;Approximately Optimal Monitoring of Plan Preconditions;UCP-Networks: A Directed Graphical Representation of Conditional Utilities;Toward Experiential Utility Elicitation for Interface Customization;Integrating Planning and Execution in Stochastic Domains;Vector-space Analysis of Belief-state Approximation for POMDPs;Practical Linear Value-approximation Techniques for First-order MDPs;Value-Directed Sampling Methods for POMDPs;Minimax regret based elicitation of generalized additive utilities;Value-Directed Belief State Approximation for POMDPs
104,75911,Accelerating EM: An Empirical Study;CAPIR: Collaborative Action Planning with Intention Recognition;Learning Probabilistic Relational Dynamics for Multiple Tasks;Adaptive Importance Sampling for Estimation in Structured Domains;Deliberation Scheduling for Time-Critical Sequential Decision Making
104,100199,Using First-Order Probability Logic for the Construction of Bayesian Networks;Using New Data to Refine a Bayesian Network;Using Causal Information and Local Measures to Learn Bayesian Networks;Generating New Beliefs From Old;UCP-Networks: A Directed Graphical Representation of Conditional Utilities;Probability Distributions Over Possible Worlds;Solving #SAT and Bayesian Inference with Backtracking Search
104,39288,A logic for reasoning about ambiguity;Generating New Beliefs From Old;Weighted Sets of Probabilities and Minimax Weighted Expected Regret: New Approaches for Representing Uncertainty and Making Decisions;Probability Update: Conditioning vs. Cross-Entropy;Defining Explanation in Probabilistic Systems;A New Approach to Updating Beliefs;Ambiguous Language and Differences in Beliefs;Causes and Explanations: A Structural-Model Approach --- Part 1: Causes
104,46282,Value-Directed Belief State Approximation for POMDPs;Hierarchical POMDP Controller Optimization by Likelihood Maximization;Comparative Analysis of Probabilistic Models for Activity Recognition with an Instrumented Walker;Value-Directed Sampling Methods for POMDPs;Vector-space Analysis of Belief-state Approximation for POMDPs
104,100240,A Case Study in Knowledge Discovery and Elicitation in an Intelligent Tutoring Application;Deliberation Scheduling for Time-Critical Sequential Decision Making;Sensor Validation Using Dynamic Belief Networks
104,75909,SPOOK: A System for Probabilistic Object-Oriented Knowledge Representation;General-Purpose MCMC Inference over Relational Structures;Learning Probabilistic Relational Dynamics for Multiple Tasks;Probabilistic Models for Agents' Beliefs and Decisions
104,77032,CAPIR: Collaborative Action Planning with Intention Recognition;Representation Requirements for Supporting Decision Model Formulation;Representing Context-Sensitive Knowledge in a Network Formalism: A Preliminary Report;Causal Mechanism-based Model Construction;Bootstrapping Monte Carlo Tree Search with an Imperfect Heuristic
104,106607,Probabilistic Causal Reasoning;Deliberation Scheduling for Time-Critical Sequential Decision Making;Model Reduction Techniques for Computing Approximately Optimal Solutions for Markov Decision Processes
116,68883,Multiple models of Bayesian networks applied to offline recognition of Arabic handwritten city names;Etude de Modeles a base de reseaux Bayesiens pour l'aide au diagnostic de tumeurs cerebrales;Use of Fuzzy Sets in Semantic Nets for Providing On-Line Assistance to User of Technological Systems
116,100194,On the Qualitative Comparison of Decisions Having Positive and Negative Features;Constraint Propagation with Imprecise Conditional Probabilities;Modeling uncertain and vague knowledge in possibility and evidence theories;A Symbolic Approach to Reasoning with Linguistic Quantifiers;A fuzzy relation-based extension of Reggia's relational model for diagnosis handling uncertain and incomplete information;Argumentative inference in uncertain and inconsistent knowledge bases;Updating with Belief Functions, Ordinal Conditioning Functions and Possibility Measures;Decision-making Under Ordinal Preferences and Comparative Uncertainty;An Ordinal View of Independence with Application to Plausible Reasoning;A Logic of Graded Possibility and Certainty Coping with Partial Inconsistency;Graphical readings of possibilistic logic bases;A Principled Analysis of Merging Operations in Possibilistic Logic
116,100196,Modeling uncertain and vague knowledge in possibility and evidence theories;A Logic of Graded Possibility and Certainty Coping with Partial Inconsistency;Constraint Propagation with Imprecise Conditional Probabilities;A Symbolic Approach to Reasoning with Linguistic Quantifiers;Argumentative inference in uncertain and inconsistent knowledge bases;Updating with Belief Functions, Ordinal Conditioning Functions and Possibility Measures;A Principled Analysis of Merging Operations in Possibilistic Logic;Decision-making Under Ordinal Preferences and Comparative Uncertainty;A fuzzy relation-based extension of Reggia's relational model for diagnosis handling uncertain and incomplete information;An Ordinal View of Independence with Application to Plausible Reasoning;Graphical readings of possibilistic logic bases
116,46214,Compiling Possibilistic Networks: Alternative Approaches to Possibilistic Inference;Loopy Belief Propagation in Bayesian Networks : origin and possibilistic perspectives;Argumentative inference in uncertain and inconsistent knowledge bases;A Principled Analysis of Merging Operations in Possibilistic Logic;Graphical readings of possibilistic logic bases
116,101882,On Modal Logics for Qualitative Possibility in a Fuzzy Setting;Combining Multiple-Valued Logics in Modular Expert Systems;A Complete Calculus for Possibilistic Logic Programming with Fuzzy Propositional Variables;A Symbolic Approach to Reasoning with Linguistic Quantifiers
116,55151,Optimization of Fuzzy Semantic Networks Based on Galois Lattice and Bayesian Formalism;Fuzzy Knowledge Representation, Learning and Optimization with Bayesian Analysis in Fuzzy Semantic Networks;Use of Fuzzy Sets in Semantic Nets for Providing On-Line Assistance to User of Technological Systems;Softening Fuzzy Knowledge Representation Tool with the Learning of New Words in Natural Language;Uncertain and Approximative Knowledge Representation to Reasoning on Classification with a Fuzzy Networks Based System;Possibilistic Pertinence Feedback and Semantic Networks for Goal's Extraction;Loopy Belief Propagation in Bayesian Networks : origin and possibilistic perspectives;Pertinent Information retrieval based on Possibilistic Bayesian network : origin and possibilistic perspective;ViQIE: A New Approach for Visual Query Interpretation and Extraction;Fuzzy Knowledge Representation Based on Possibilistic and Necessary Bayesian Networks;VIQI: A New Approach for Visual Interpretation of Deep Web Query Interfaces;A Fuzzy Approach for Pertinent Information Extraction from Web Resources;Relevance Feedback for Goal's Extraction from Fuzzy Semantic Networks16,31138,On the Complexity of Decision Making in Possibilistic Decision Trees;Compiling Possibilistic Networks: Alternative Approaches to Possibilistic Inference
116,31137,On the Qualitative Comparison of Decisions Having Positive and Negative Features;On the Complexity of Decision Making in Possibilistic Decision Trees;Decision-making Under Ordinal Preferences and Comparative Uncertainty
116,135514,Combining Multiple-Valued Logics in Modular Expert Systems;Incremental Map Generation by Low Cost Robots Based on Possibility/Necessity Grids
116,140340,Combining Multiple-Valued Logics in Modular Expert Systems;On Modal Logics for Qualitative Possibility in a Fuzzy Setting
134,72580,Algorithms for Irrelevance-Based Partial MAPs;Relevant Explanations: Allowing Disjunctive Assignments;Complexity of Canadian Traveler Problem Variants;Belief Updating by Enumerating High-Probability Independence-Based Assignments;Generic Preferences over Subsets of Structured Objects;Selecting Computations: Theory and Applications;Bayes Networks for Sonar Sensor Fusion;A New Algorithm for Finding MAP Assignments to Belief Networks;MCTS Based on Simple Regret;Observation Subset Selection as Local Compilation of Performance Profiles;VOI-aware MCTS;Cost-Sharing in Bayesian Knowledge Bases
134,31113,A compact, hierarchical Q-function decomposition;Gibbs Sampling in Open-Universe Stochastic Languages;Variational MCMC;Rao-Blackwellised Particle Filtering for Dynamic Bayesian Networks;A temporally abstracted Viterbi algorithm;Fine-Grained Decision-Theoretic Search Control;Selecting Computations: Theory and Applications;Improving Gradient Estimation by Incorporating Sensor Data;Image Segmentation in Video Sequences: A Probabilistic Approach;RAPID: A Reachable Anytime Planner for Imprecisely-sensed Domains;General-Purpose MCMC Inference over Relational Structures
134,31191,A Bilinear Programming Approach for Multiagent Planning;Policy Iteration for Decentralized Control of Markov Decision Processes;The Complexity of Decentralized Control of Markov Decision Processes;Optimizing Memory-Bounded Controllers for Decentralized POMDPs;Rollout Sampling Policy Iteration for Decentralized POMDPs;Anytime Planning for Decentralized POMDPs using Expectation Maximization;Message-Passing Algorithms for Quadratic Programming Formulations of MAP Estimation
134,31164,Suboptimality Bounds for Stochastic Shortest Path Problems;Policy Iteration for Decentralized Control of Markov Decision Processes;A Heuristic Search Approach to Planning with Continuous Resources in Stochastic Domains;Improving the Scalability of Optimal Bayesian Network Learning with External-Memory Frontier Breadth-First Branch and Bound Search;Solving Multistage Influence Diagrams using Branch-and-Bound Search;Sparse Stochastic Finite-State Controllers for POMDPs
134,31089,Extended Lifted Inference with Joint Formulas;Generic Preferences over Subsets of Structured Objects;UCP-Networks: A Directed Graphical Representation of Conditional Utilities;A Heuristic Search Approach to Planning with Continuous Resources in Stochastic Domains
134,72745,Generic Preferences over Subsets of Structured Objects;Simple Regret Optimization in Online Planning for Markov Decision Processes;Unstructuring User Preferences: Efficient Non-Parametric Utility Revelation;Cost-Sharing in Bayesian Knowledge Bases;Online Speedup Learning for Optimal Planning
134,75921,Optimizing Memory-Bounded Controllers for Decentralized POMDPs;Incremental Clustering and Expansion for Faster Optimal Planning in Dec-POMDPs;Scalable Planning and Learning for Multiagent POMDPs: Extended Version;Policy Iteration for Decentralized Control of Markov Decision Processes
134,105243,IDEAL: A Software Package for Analysis of Influence Diagrams;Integrating Model Construction and Evaluation;Decision-Theoretic Control of Problem Solving: Principles and Architecture;Decision Making with Interval Influence Diagrams;Ideal Reformulation of Belief Networks;A New Look at Causal Independence
134,31203,Improving the Scalability of Optimal Bayesian Network Learning with External-Memory Frontier Breadth-First Branch and Bound Search;Most Relevant Explanation: Properties, Algorithms, and Evaluations;Solving Multistage Influence Diagrams using Branch-and-Bound Search;Importance Sampling in Bayesian Networks: An Influence-Based Approximation Strategy for Importance Functions
134,105245,Decision-Theoretic Control of Problem Solving: Principles and Architecture;Computationally-Optimal Real-Resource Strategies;Probabilistic Conceptual Network: A Belief Representation Scheme for Utility-Based Categorization;A Structured, Probabilistic Representation of Action;Decision Methods for Adaptive Task-Sharing in Associate Systems
145,58565,Speeding Up Planning in Markov Decision Processes via Automatically Constructed Abstractions;Improved Mean and Variance Approximations for Belief Net Responses via Network Doubling;Learning Bayesian Nets that Perform Well;Bayesian Error-Bars for Belief Net Inference;A Generalized Loop Correction Method for Approximate Inference in Graphical Models;Training Restricted Boltzmann Machine by Perturbation
145,31136,PAC-Bayesian Policy Evaluation for Reinforcement Learning;Online Learning under Delayed Feedback;Online Learning in Markov Decision Processes with Adversarially Chosen Transition Probability Distributions;A Randomized Mirror Descent Algorithm for Large Scale Multiple Kernel Learning;Statistical Linear Estimation with Penalized Estimators: an Application to Reinforcement Learning;Analysis of Kernel Mean Matching under Covariate Shift;Apprenticeship Learning using Inverse Reinforcement Learning and Gradient Methods;An Adaptive Algorithm for Finite Stochastic Partial Monitoring;Dyna-Style Planning with Linear Function Approximation and Prioritized Sweeping;Speeding Up Planning in Markov Decision Processes via Automatically Constructed Abstractions
145,63480,Planning by Prioritized Sweeping with Small Backups;Dyna-Style Planning with Linear Function Approximation and Prioritized Sweeping;Off-Policy Actor-Critic
145,58563,Bayesian Error-Bars for Belief Net Inference;Improved Mean and Variance Approximations for Belief Net Responses via Network Doubling
145,72513,Speeding Up Planning in Markov Decision Processes via Automatically Constructed Abstractions
145,72582,Dyna-Style Planning with Linear Function Approximation and Prioritized Sweeping
145,72583,Bayes' Bluff: Opponent Modelling in Poker;Dyna-Style Planning with Linear Function Approximation and Prioritized Sweeping
145,58564,Improved Mean and Variance Approximations for Belief Net Responses via Network Doubling;Online Learning in Markov Decision Processes with Adversarially Chosen Transition Probability Distributions;Linear Programming for Large-Scale Markov Decision Problems
145,58566,Improved Mean and Variance Approximations for Belief Net Responses via Network Doubling
145,72512,Speeding Up Planning in Markov Decision Processes via Automatically Constructed Abstractions
151,46260,Hybrid Processing of Beliefs and Constraints;A Scheme for Approximating Probabilistic Inference;AND/OR Multi-Valued Decision Diagrams (AOMDDs) for Weighted Graphical Models;AND/OR Multi-Valued Decision Diagrams (AOMDDs) for Graphical Models;Join-Graph Propagation Algorithms;Modeling Transportation Routines using Hybrid Dynamic Mixed Networks;Bounding Search Space Size via (Hyper)tree Decompositions;Best-First AND/OR Search for Most Probable Explanations;Approximate Inference Algorithms for Hybrid Bayesian Networks with Discrete Constraints;The Relationship Between AND/OR Search and Variable Elimination;AND/OR Importance Sampling;BEEM : Bucket Elimination with External Memory;Cutset Sampling with Likelihood Weighting;Studies in Lower Bounding Probabilities of Evidence using the Markov Inequality
151,31151,Studies in Lower Bounding Probabilities of Evidence using the Markov Inequality;AND/OR Importance Sampling;Probabilistic Theorem Proving;Join-Graph Propagation Algorithms;Approximate Inference Algorithms for Hybrid Bayesian Networks with Discrete Constraints;Approximation by Quantization;Formula-Based Probabilistic Inference;Modeling Transportation Routines using Hybrid Dynamic Mixed Networks
151,21014,Efficient Test Selection in Active Diagnosis via Entropy Approximation;Learning Performance of Prediction Markets with Kelly Bettors
151,46259,Join-Graph Propagation Algorithms;BEEM : Bucket Elimination with External Memory
151,75933,AND/OR Multi-Valued Decision Diagrams (AOMDDs) for Weighted Graphical Models;The Relationship Between AND/OR Search and Variable Elimination;AND/OR Multi-Valued Decision Diagrams (AOMDDs) for Graphical Models;Join-Graph Propagation Algorithms
151,75901,Studies in Lower Bounding Probabilities of Evidence using the Markov Inequality;Cutset Sampling with Likelihood Weighting;Modeling Transportation Routines using Hybrid Dynamic Mixed Networks
151,81187,Modeling Transportation Routines using Hybrid Dynamic Mixed Networks
151,81188,Modeling Transportation Routines using Hybrid Dynamic Mixed Networks
151,81222,A Scheme for Approximating Probabilistic Inference;Efficient Test Selection in Active Diagnosis via Entropy Approximation
151,31205,AND/OR Multi-Valued Decision Diagrams (AOMDDs) for Graphical Models;Best-First AND/OR Search for Most Probable Explanations;Order-of-Magnitude Influence Diagrams
153,75940,Reformulating Inference Problems Through Selective Conditioning;A Bayesian Approach to Tackling Hard Computational Problems;Time-Dependent Utility and Action Under Uncertainty;An Approximate Nonmyopic Computation for Value of Information;Utility-Based Abstraction and Categorization;Time-Critical Reasoning: Representations and Application;Perception, Attention, and Resources: A Decision-Theoretic Approach to Graphics Rendering;Ideal Reformulation of Belief Networks;Conversation as Action Under Uncertainty;Reasoning about the Value of Decision-Model Refinement: Methods and Application;Problem Formulation as the Reduction of a Decision Model;Collaborative Filtering by Personality Diagnosis: A Hybrid Memory- and Model-Based Approach;On Discarding, Caching, and Recalling Samples in Active Learning;A Synthesis of Logical and Probabilistic Reasoning for Program Understanding and Debugging;Dynamic Network Models for Forecasting
153,31120,Laplace's Method Approximations for Probabilistic Inference in Belief Networks with Continuous Variables;Evaluating influence diagrams with decision circuits;End-User Construction of Influence Diagrams for Bayesian Statistics;Sensitivity analysis in decision circuits;Structural Controllability and Observability in Influence Diagrams;Using Potential Influence Diagrams for Probabilistic Inference and Decision Making;Strictly Proper Mechanisms with Cooperating Players;Mixtures of Gaussians and Minimum Relative Entropy Techniques for Modeling Continuous Uncertainties;A Linear Approximation Method for Probabilistic Inference;Three new sensitivity analysis methods for influence diagrams;Directed Reduction Algorithms and Decomposable Graphs;Three Approaches to Probability Model Selection;A Graph-Based Inference Method for Conditional Independence;Efficient Value of Information Computation;Decision Making Using Probabilistic Inference Methods;Global Conditioning for Probabilistic Inference in Belief Networks;Dynamic programming in in uence diagrams with decision circuits;A Decision-Based View of Causality
153,54871,A Bayesian Approach to Learning Bayesian Networks with Local Structure;Learning Bayesian Networks: The Combination of Knowledge and Statistical Data;Advances in Probabilistic Reasoning;A New Look at Causal Independence;Similarity Networks for the Construction of Multiple-Faults Belief Networks;Separable and transitive graphoids;Determining the Number of Non-Spurious Arcs in a Learned DAG Model: Investigation of a Bayesian and a Frequentist Approach;A powerful and efficient set test for genetic markers that handles confounders;An Empirical Comparison of Three Inference Methods;Structure and Parameter Learning for Causal Independence and Causal Interaction Models;Dependency Networks for Collaborative Filtering and Data Visualization;Models and Selection Criteria for Regression and Classification;An Approximate Nonmyopic Computation for Value of Information;Problem Formulation as the Reduction of a Decision Model;A Combination of Cutset Conditioning with Clique-Tree Propagation in the Pathfinder System;A Decision-Based View of Causality;Inference Algorithms for Similarity Networks;Diagnosis of Multiple Faults: A Sensitivity Analysis;Addendum on the scoring of Gaussian directed acyclic graphical models;Continuous Time Dynamic Topic Models;A Decision Theoretic Approach to Targeted Advertising;Learning Gaussian Networks;Causal Independence for Knowledge Acquisition and Inference
153,78659,Kutato: An Entropy-Driven System for Construction of Probabilistic Expert Systems from Databases;A Bayesian Method for Constructing Bayesian Belief Networks from Databases;A Bayesian Method for Causal Modeling and Discovery Under Selection;An Empirical Analysis of Likelihood-Weighting Simulation on a Large, Multiply-Connected Belief Network;A Method for Using Belief Networks as Influence Diagrams;A Randomized Approximation Algorithm of Logic Sampling;KNET: Integrating Hypermedia and Bayesian Modeling;A Structurally and Temporally Extended Bayesian Belief Network Model: Definitions, Properties, and Modeling Techniques;An Evaluation of an Algorithm for Inductive Learning of Bayesian Belief Networks Usin;A theoretical study of Y structures for causal discovery;A Combination of Cutset Conditioning with Clique-Tree Propagation in the Pathfinder System;Binary Classifier Calibration: Bayesian Non-Parametric Approach;Counting Markov Blanket Structures
153,46245,Playing games against nature: optimal policies for renewable resource allocation;On the Erdos Discrepancy Problem;Understanding Sampling Style Adversarial Search Methods;Synthesizing Manipulation Sequences for Under-Specified Tasks using Unrolled Markov Random Fields;A Bayesian Approach to Tackling Hard Computational Problems;Algorithm Portfolio Design: Theory vs. Practice;Survey Propagation Revisited
153,100221,Using Temporal Data for Making Recommendations;A Bayesian Approach to Tackling Hard Computational Problems;A Decision Theoretic Approach to Targeted Advertising;Dependency Networks for Collaborative Filtering and Data Visualization;A Bayesian Approach to Learning Bayesian Networks with Local Structure;Learning Bayesian Networks: The Combination of Knowledge and Statistical Data
153,72553,Adjacency-Faithfulness and Conservative Causal Inference;Detecting Causal Relations in the Presence of Unmeasured Variables;A Transformational Characterization of Markov Equivalence for Directed Acyclic Graphs with Latent Variables;Semi-Instrumental Variables: A Test for Instrument Admissibility;Causal discovery of linear acyclic models with arbitrary distributions;A theoretical study of Y structures for causal discovery;Discovering Cyclic Causal Models by Independent Components Analysis
153,72596,Inference for Multiplicative Models;A Bayesian Approach to Learning Bayesian Networks with Local Structure;Using Temporal Data for Making Recommendations;Structure and Parameter Learning for Causal Independence and Causal Interaction Models;Models and Selection Criteria for Regression and Classification;Perfect Tree-Like Markovian Distributions;Dependency Networks for Collaborative Filtering and Data Visualization
153,46244,On the Erdos Discrepancy Problem;Algorithm Portfolio Design: Theory vs. Practice;A Bayesian Approach to Tackling Hard Computational Problems;Maximizing the Spread of Cascades Using Network Design;Playing games against nature: optimal policies for renewable resource allocation
153,103919,Reasoning about the Value of Decision-Model Refinement: Methods and Application;Probabilistic Conceptual Network: A Belief Representation Scheme for Utility-Based Categorization;Directed Reduction Algorithms and Decomposable Graphs;Time-Critical Dynamic Decision Making
156,46288,Confounding Equivalence in Causal Inference;On Testing Whether an Embedded Bayesian Network Represents a Probability Model;An Algorithm for Deciding if a Set of Observed Independencies Has a Causal Explanation;Deciding Morality of Graphs is NP-complete;Direct and Indirect Effects;A Probabilistic Calculus of Actions;Identification of Conditional Interventional Distributions;Reasoning With Qualitative Probabilities Can Be Tractable;On the Equivalence of Causal Models;Causal Discovery from Changes;On a Class of Bias-Amplifying Variables that Endanger Effect Estimates;Effects of Treatment on the Treated: Identification and Generalization;From Conditional Oughts to Qualitative Decision Theory;Causes and Explanations: A Structural-Model Approach --- Part 1: Causes;Probabilities of Causation: Bounds and Identification;On the Logic of Causal Models;On Measurement Bias in Causal Inference;Counterfactual Probabilities: Computational Methods, Bounds and Applications;Graphical Condition for Identification in recursive SEM
156,58539,Incorporating Expressive Graphical Models in Variational Approximations: Chain-Graphs and Hidden Variables;Image Segmentation in Video Sequences: A Probabilistic Approach;Template Based Inference in Symmetric Relational Markov Random Fields;Sequential Update of Bayesian Network Structure;Convexifying the Bethe Free Energy;Mean Field Variational Approximation for Continuous-Time Bayesian Networks;Multivariate Information Bottleneck;Continuous Time Markov Networks;Gaussian Process Networks;Gibbs Sampling in Factorized Continuous-Time Markov Processes;Learning the Dimensionality of Hidden Variables;Being Bayesian about Network Structure;Dimension Reduction in Singularly Perturbed Continuous-Time Bayesian Networks;Likelihood Computations Using Value Abstractions
156,75953,Perfect Tree-Like Markovian Distributions;Importance Sampling via Variational Optimization;Learning Gaussian Networks;On the Logic of Causal Models;Learning Bayesian Networks: The Combination of Knowledge and Statistical Data;Inference Algorithms for Similarity Networks;Likelihood Computations Using Value Abstractions;On Testing Whether an Embedded Bayesian Network Represents a Probability Model;Advances in Probabilistic Reasoning;Separable and transitive graphoids;An Entropy-based Learning Algorithm of Bayesian Conditional Trees;Approximation Algorithms for the Loop Cutset Problem
