community,adi_author,titles_papers
6,66605,The enriched Crouzeix-Raviart elements are equivalent to the Raviart-Thomas elements;The simplest mixed finite element method for linear elasticity in the symmetric formulation on $n$-rectangular grids;Nonconforming finite element methods on quadrilateral meshes;Learning Belief Networks in Domains with Recursively Embedded Pseudo Independent Submodels;Giant topological insulator gap in graphene with 5d adatoms;Chern Half Metals: A New Class of Topological Materials to Realize the Quantum Anomalous Hall Effect;Runge-Kutta Central Discontinuous Galerkin BGK Method for the Navier-Stokes Equations;SEAL: Spatio-Textual Similarity Search;Control of the magnetism and magnetic anisotropy of a single-molecule magnet with an electric field;Magnetism and Magnetic Anisotropy of Transition Metal-Phthalocyanine Molecules;Seminormal forms and cyclotomic quiver Hecke algebras of type $A$
6,78645,From influence diagrams to multi-operator cluster DAGs
6,78647,From influence diagrams to multi-operator cluster DAGs
6,81173,Nonparametric Bayesian Logic
80,105297,An Architecture for Probabilistic Concept-Based Information Retrieval
80,135512,Computational Advantages of Relevance Reasoning in Bayesian Belief Networks
80,140359,Knowledge Engineering for Large Belief Networks
80,140360,An Approximate Nonmyopic Computation for Value of Information;Knowledge Engineering for Large Belief Networks
80,100200,Computational Investigation of Low-Discrepancy Sequences in Simulation Algorithms for Bayesian Networks;Confidence Inference in Bayesian Networks
80,100247,Approximating MAP using Local Search
80,102659,User Interface Tools for Navigation in Conditional Probability Tables and Elicitation of Probabilities in Bayesian Networks
80,105236,Qualitative Propagation and Scenario-based Explanation of Probabilistic Reasoning;Knowledge Engineering for Large Belief Networks;Intercausal Reasoning with Uninstantiated Ancestor Nodes;A Comparison of Decision Analysis and Expert Rules for Sequential Diagnosis;Efficient Estimation of the Value of Information in Monte Carlo Models;Search-based Methods to Bound Diagnostic Probabilities in Very Large Belief Nets;An Experimental Comparison of Numerical and Qualitative Probabilistic Reasoning
80,105241,Tradeoffs in Constructing and Evaluating Temporal Influence Diagrams;Dynamic Network Updating Techniques For Diagnostic Reasoning;An Experimental Comparison of Numerical and Qualitative Probabilistic Reasoning;A Standard Approach for Optimizing Belief Network Inference using Query DAGs;Knowledge Engineering for Large Belief Networks;What is an Optimal Diagnosis?
80,105296,Symbolic Probabilistic Inference with Evidence Potential;Symbolic Probabilistic Inference with Continuous Variables;An Architecture for Probabilistic Concept-Based Information Retrieval;Refinement and Coarsening of Bayesian Networks;Backward Simulation in Bayesian Networks
80,140336,An Experimental Comparison of Numerical and Qualitative Probabilistic Reasoning;Backward Simulation in Bayesian Networks
80,105298,An Architecture for Probabilistic Concept-Based Information Retrieval
80,105299,An Architecture for Probabilistic Concept-Based Information Retrieval
80,105306,Symbolic Probabilistic Inference with Continuous Variables;Refinement and Coarsening of Bayesian Networks;Symbolic Probabilistic Inference with Evidence Potential
80,81169,Exploiting Evidence in Probabilistic Inference;Geotagging One Hundred Million Twitter Accounts with Total Variation Minimization
80,140343,An Experimental Comparison of Numerical and Qualitative Probabilistic Reasoning
80,142864,Causality in Bayesian Belief Networks
80,140325,Efficient Estimation of the Value of Information in Monte Carlo Models
80,106618,A Comparison of Decision Analysis and Expert Rules for Sequential Diagnosis
80,31116,Node Splitting: A Scheme for Generating Upper Bounds in Bayesian Networks;A Variational Approach for Approximating Bayesian Networks by Edge Deletion;Approximating the Partition Function by Deleting and then Correcting for Model Edges;EDML: A Method for Learning Parameters in Bayesian Networks;On Bayesian Network Approximation by Edge Deletion
80,31117,EDML: A Method for Learning Parameters in Bayesian Networks
80,31118,On Bayesian Network Approximation by Edge Deletion;On the Relation between Kappa Calculus and Probabilistic Reasoning;Argument Calculus and Networks;Exploiting Evidence in Probabilistic Inference;On the Robustness of Most Probable Explanations;A Variational Approach for Approximating Bayesian Networks by Edge Deletion;A Standard Approach for Optimizing Belief Network Inference using Query DAGs;Approximating MAP using Local Search;Any-Space Probabilistic Inference;Objection-Based Causal Networks;A Differential Approach to Inference in Bayesian Networks;Action Networks: A Framework for Reasoning about Actions and Change under Uncertainty;Approximating the Partition Function by Deleting and then Correcting for Model Edges;EDML: A Method for Learning Parameters in Bayesian Networks;Node Splitting: A Scheme for Generating Upper Bounds in Bayesian Networks
80,46338,Learning Why Things Change: The Difference-Based Causality Learner
80,46339,Learning Why Things Change: The Difference-Based Causality Learner;Efficient inference in persistent Dynamic Bayesian Networks
80,46340,Intercausal Reasoning with Uninstantiated Ancestor Nodes;Causality in Bayesian Belief Networks;Importance Sampling in Bayesian Networks: An Influence-Based Approximation Strategy for Importance Functions;Confidence Inference in Bayesian Networks;Qualitative Propagation and Scenario-based Explanation of Probabilistic Reasoning;Computational Advantages of Relevance Reasoning in Bayesian Belief Networks;Learning Why Things Change: The Difference-Based Causality Learner;Some Properties of Joint Probability Distributions;Causal Mechanism-based Model Construction;Computational Investigation of Low-Discrepancy Sequences in Simulation Algorithms for Bayesian Networks;User Interface Tools for Navigation in Conditional Probability Tables and Elicitation of Probabilities in Bayesian Networks
80,72589,Efficient inference in persistent Dynamic Bayesian Networks
80,75914,Exploiting Evidence in Probabilistic Inference;Node Splitting: A Scheme for Generating Upper Bounds in Bayesian Networks
80,78624,On the Robustness of Most Probable Explanations;On Bayesian Network Approximation by Edge Deletion
104,135497,Structured Arc Reversal and Simulation of Dynamic Probabilistic Networks
104,103896,SPOOK: A System for Probabilistic Object-Oriented Knowledge Representation
104,100240,A Case Study in Knowledge Discovery and Elicitation in an Intelligent Tutoring Application;Deliberation Scheduling for Time-Critical Sequential Decision Making;Sensor Validation Using Dynamic Belief Networks
104,31239,Practical Linear Value-approximation Techniques for First-order MDPs;Symbolic Dynamic Programming for Discrete and Continuous State MDPs;Approximate Linear Programming for First-order MDPs
104,77030,Monte Carlo Bayesian Reinforcement Learning;CAPIR: Collaborative Action Planning with Intention Recognition
104,78642,Residual Belief Propagation: Informed Scheduling for Asynchronous Message Passing
104,100239,Aggregating Learned Probabilistic Beliefs;Utilities as Random Variables: Density Estimation and Structure Discovery;Defining Explanation in Probabilistic Systems
104,78688,Efficient Selection of Disambiguating Actions for Stereo Vision;Inference in Hybrid Networks: Theoretical Limits and Practical Algorithms;Policy Iteration for Factored MDPs
104,81198,Asynchronous Dynamic Bayesian Networks
104,100199,Using First-Order Probability Logic for the Construction of Bayesian Networks;Using New Data to Refine a Bayesian Network;Using Causal Information and Local Measures to Learn Bayesian Networks;Generating New Beliefs From Old;UCP-Networks: A Directed Graphical Representation of Conditional Utilities;Probability Distributions Over Possible Worlds;Solving #SAT and Bayesian Inference with Backtracking Search
104,100233,Exact Inference in Networks with Discrete Children of Continuous Parents;Inference in Hybrid Networks: Theoretical Limits and Practical Algorithms
104,100234,Exact Inference in Networks with Discrete Children of Continuous Parents
104,100238,Aggregating Learned Probabilistic Beliefs
104,100241,A Case Study in Knowledge Discovery and Elicitation in an Intelligent Tutoring Application
104,106607,Probabilistic Causal Reasoning;Deliberation Scheduling for Time-Critical Sequential Decision Making;Model Reduction Techniques for Computing Approximately Optimal Solutions for Markov Decision Processes
104,100242,A Case Study in Knowledge Discovery and Elicitation in an Intelligent Tutoring Application
104,100243,A Case Study in Knowledge Discovery and Elicitation in an Intelligent Tutoring Application
104,100244,A Case Study in Knowledge Discovery and Elicitation in an Intelligent Tutoring Application
104,100252,Accelerating EM: An Empirical Study;Adaptive Importance Sampling for Estimation in Structured Domains;Value-Directed Sampling Methods for POMDPs
104,105248,Reducing Uncertainty in Navigation and Exploration
104,105249,Reducing Uncertainty in Navigation and Exploration
104,105250,Probabilistic Causal Reasoning;Reducing Uncertainty in Navigation and Exploration
104,105280,A New Approach to Updating Beliefs
104,135501,Model Reduction Techniques for Computing Approximately Optimal Solutions for Markov Decision Processes
104,135506,Probability Update: Conditioning vs. Cross-Entropy;Generating New Beliefs From Old;Probability Estimation in Face of Irrelevant Information;Learning Bayesian Nets that Perform Well
104,135511,Nonuniform Dynamic Discretization in Hybrid Networks
104,140327,Integrating Planning and Execution in Stochastic Domains
104,140347,Using Causal Information and Local Measures to Learn Bayesian Networks;Using New Data to Refine a Bayesian Network
104,142886,Deliberation Scheduling for Time-Critical Sequential Decision Making
104,146680,Sensor Validation Using Dynamic Belief Networks
104,153915,Tight Bounds for Set Disjointness in the Message Passing Model;Solving #SAT and Bayesian Inference with Backtracking Search
104,75910,Learning to Map Sentences to Logical Form: Structured Classification with Probabilistic Categorial Grammars;Learning Probabilistic Relational Dynamics for Multiple Tasks
104,75911,Accelerating EM: An Empirical Study;CAPIR: Collaborative Action Planning with Intention Recognition;Learning Probabilistic Relational Dynamics for Multiple Tasks;Adaptive Importance Sampling for Estimation in Structured Domains;Deliberation Scheduling for Time-Critical Sequential Decision Making
104,164913,Solving #SAT and Bayesian Inference with Backtracking Search
104,31102,Expectation Propagation for Continuous Time Bayesian Networks;Policy Improvement for POMDPs Using Normalized Importance Sampling;Factored Filtering of Continuous-Time Systems;Learning Continuous-Time Social Network Dynamics;Expectation Maximization and Complex Duration Distributions for Continuous Time Bayesian Networks;Visualization of Collaborative Data
104,31109,Active Learning for Matching Problems;Hierarchical POMDP Controller Optimization by Likelihood Maximization;A Framework for Optimizing Paper Matching
104,31111,Active Learning for Matching Problems;Regret-based Reward Elicitation for Markov Decision Processes;Approximate Linear Programming for First-order MDPs;Modal Logics for Qualitative Possibility and Beliefs;The Probability of a Possibility: Adding Uncertainty to Default Rules;Structured Arc Reversal and Simulation of Dynamic Probabilistic Networks;A Framework for Optimizing Paper Matching;Correlated Action Effects in Decision Theoretic Regression;Approximately Optimal Monitoring of Plan Preconditions;UCP-Networks: A Directed Graphical Representation of Conditional Utilities;Toward Experiential Utility Elicitation for Interface Customization;Integrating Planning and Execution in Stochastic Domains;Vector-space Analysis of Belief-state Approximation for POMDPs;Practical Linear Value-approximation Techniques for First-order MDPs;Value-Directed Sampling Methods for POMDPs;Minimax regret based elicitation of generalized additive utilities;Value-Directed Belief State Approximation for POMDPs
104,77031,Bootstrapping Monte Carlo Tree Search with an Imperfect Heuristic;CAPIR: Collaborative Action Planning with Intention Recognition
104,31240,Symbolic Dynamic Programming for Discrete and Continuous State MDPs
104,31241,Symbolic Dynamic Programming for Discrete and Continuous State MDPs
104,31265,Rank/Norm Regularization with Closed-Form Solutions: Application to Subspace Clustering;Maximum Margin Bayesian Networks;Monte Carlo Inference via Greedy Importance Sampling;Regularizers versus Losses for Nonlinear Dimensionality Reduction: A Factored View with New Convex Relaxations;Convex Structure Learning for Bayesian Networks: Polynomial Feature Selection and Approximate Ordering;Learning Bayesian Nets that Perform Well;Reinforcement Ranking
104,39288,A logic for reasoning about ambiguity;Generating New Beliefs From Old;Weighted Sets of Probabilities and Minimax Weighted Expected Regret: New Approaches for Representing Uncertainty and Making Decisions;Probability Update: Conditioning vs. Cross-Entropy;Defining Explanation in Probabilistic Systems;A New Approach to Updating Beliefs;Ambiguous Language and Differences in Beliefs;Causes and Explanations: A Structural-Model Approach --- Part 1: Causes
104,39289,Ambiguous Language and Differences in Beliefs;A logic for reasoning about ambiguity
104,46239,Convex Point Estimation using Undirected Bayesian Transfer Hierarchies;Learning the Dimensionality of Hidden Variables;Residual Belief Propagation: Informed Scheduling for Asynchronous Message Passing;Inference-less Density Estimation using Copula Bayesian Networks
104,46248,Identifying reasoning patterns in games;Learning Game Representations from Data Using Rationality Constraints;Networks of Influence Diagrams: A Formalism for Representing Agents' Beliefs and Decision-Making Processes;Temporal Action-Graph Games: A New Representation for Dynamic Games;Object-Oriented Bayesian Networks;SPOOK: A System for Probabilistic Object-Oriented Knowledge Representation;Sufficiency, Separability and Temporal Probabilistic Models;Learning and Solving Many-Player Games through a Cluster-Based Representation;Proceedings of the Twenty-Seventh Conference on Uncertainty in Artificial Intelligence (2011);Asynchronous Dynamic Bayesian Networks;Approximate Separability for Weak Interaction in Dynamic Systems
104,46279,Comparative Analysis of Probabilistic Models for Activity Recognition with an Instrumented Walker
104,46280,Comparative Analysis of Probabilistic Models for Activity Recognition with an Instrumented Walker
104,46281,Comparative Analysis of Probabilistic Models for Activity Recognition with an Instrumented Walker
104,46282,Value-Directed Belief State Approximation for POMDPs;Hierarchical POMDP Controller Optimization by Likelihood Maximization;Comparative Analysis of Probabilistic Models for Activity Recognition with an Instrumented Walker;Value-Directed Sampling Methods for POMDPs;Vector-space Analysis of Belief-state Approximation for POMDPs
104,46283,Comparative Analysis of Probabilistic Models for Activity Recognition with an Instrumented Walker
104,46284,Comparative Analysis of Probabilistic Models for Activity Recognition with an Instrumented Walker
104,58484,Proceedings of the Twenty-Seventh Conference on Uncertainty in Artificial Intelligence (2011)
104,58533,Regret-based Reward Elicitation for Markov Decision Processes
104,58549,MAP Estimation of Semi-Metric MRFs via Hierarchical Graph Cuts;Modeling Latent Variable Uncertainty for Loss-based Learning
104,58550,Exact Inference in Networks with Discrete Children of Continuous Parents;Expectation Propagation for Continuous Time Bayesian Networks;Object-Oriented Bayesian Networks;Convex Point Estimation using Undirected Bayesian Transfer Hierarchies;Policy Iteration for Factored MDPs;Generating New Beliefs From Old;Nonuniform Dynamic Discretization in Hybrid Networks;Utilities as Random Variables: Density Estimation and Structure Discovery;Being Bayesian about Network Structure;Continuous Time Markov Networks;Modeling Latent Variable Uncertainty for Loss-based Learning;Probabilistic Models for Agents' Beliefs and Decisions;Constrained Approximate Maximum Entropy Learning of Markov Random Fields;Ordering-Based Search: A Simple and Effective Algorithm for Learning Bayesian Networks;MAP Estimation of Semi-Metric MRFs via Hierarchical Graph Cuts;Residual Belief Propagation: Informed Scheduling for Asynchronous Message Passing;Update Rules for Parameter Estimation in Bayesian Networks;Reasoning at the Right Time Granularity;SPOOK: A System for Probabilistic Object-Oriented Knowledge Representation;Probability Estimation in Face of Irrelevant Information;Projected Subgradient Methods for Learning Sparse Gaussians;Expectation Maximization and Complex Duration Distributions for Continuous Time Bayesian Networks
104,69155,Parallel random variates generator for GPUs based on normal numbers;A Case Study in Knowledge Discovery and Elicitation in an Intelligent Tutoring Application
104,72550,Toward Experiential Utility Elicitation for Interface Customization
104,72590,Newton methods for k-order Markov Constrained Motion Problems;Hierarchical POMDP Controller Optimization by Likelihood Maximization
104,75488,Estimating Densities with Non-Parametric Exponential Families;Model Reduction Techniques for Computing Approximately Optimal Solutions for Markov Decision Processes
104,75908,Learning Probabilistic Relational Dynamics for Multiple Tasks
104,75909,SPOOK: A System for Probabilistic Object-Oriented Knowledge Representation;General-Purpose MCMC Inference over Relational Structures;Learning Probabilistic Relational Dynamics for Multiple Tasks;Probabilistic Models for Agents' Beliefs and Decisions
104,75919,Minimax regret based elicitation of generalized additive utilities
104,75924,Reasoning at the Right Time Granularity
104,75925,Expectation Maximization and Complex Duration Distributions for Continuous Time Bayesian Networks;Reasoning at the Right Time Granularity;Expectation Propagation for Continuous Time Bayesian Networks
104,77029,Bootstrapping Monte Carlo Tree Search with an Imperfect Heuristic;CAPIR: Collaborative Action Planning with Intention Recognition
104,77032,CAPIR: Collaborative Action Planning with Intention Recognition;Representation Requirements for Supporting Decision Model Formulation;Representing Context-Sensitive Knowledge in a Network Formalism: A Preliminary Report;Causal Mechanism-based Model Construction;Bootstrapping Monte Carlo Tree Search with an Imperfect Heuristic
104,77033,CAPIR: Collaborative Action Planning with Intention Recognition
104,77034,CAPIR: Collaborative Action Planning with Intention Recognition
116,68883,Multiple models of Bayesian networks applied to offline recognition of Arabic handwritten city names;Etude de Modeles a base de reseaux Bayesiens pour l'aide au diagnostic de tumeurs cerebrales;Use of Fuzzy Sets in Semantic Nets for Providing On-Line Assistance to User of Technological Systems
116,164884,On the Qualitative Comparison of Decisions Having Positive and Negative Features;Analytical reasoning task reveals limits of social learning in networks
116,68736,Loopy Belief Propagation in Bayesian Networks : origin and possibilistic perspectives
116,46214,Compiling Possibilistic Networks: Alternative Approaches to Possibilistic Inference;Loopy Belief Propagation in Bayesian Networks : origin and possibilistic perspectives;Argumentative inference in uncertain and inconsistent knowledge bases;A Principled Analysis of Merging Operations in Possibilistic Logic;Graphical readings of possibilistic logic bases
116,83033,Etude de Modeles a base de reseaux Bayesiens pour l'aide au diagnostic de tumeurs cerebrales
116,83034,Etude de Modeles a base de reseaux Bayesiens pour l'aide au diagnostic de tumeurs cerebrales
116,100194,On the Qualitative Comparison of Decisions Having Positive and Negative Features;Constraint Propagation with Imprecise Conditional Probabilities;Modeling uncertain and vague knowledge in possibility and evidence theories;A Symbolic Approach to Reasoning with Linguistic Quantifiers;A fuzzy relation-based extension of Reggia's relational model for diagnosis handling uncertain and incomplete information;Argumentative inference in uncertain and inconsistent knowledge bases;Updating with Belief Functions, Ordinal Conditioning Functions and Possibility Measures;Decision-making Under Ordinal Preferences and Comparative Uncertainty;An Ordinal View of Independence with Application to Plausible Reasoning;A Logic of Graded Possibility and Certainty Coping with Partial Inconsistency;Graphical readings of possibilistic logic bases;A Principled Analysis of Merging Operations in Possibilistic Logic
116,100195,A Principled Analysis of Merging Operations in Possibilistic Logic;Graphical readings of possibilistic logic bases
116,100196,Modeling uncertain and vague knowledge in possibility and evidence theories;A Logic of Graded Possibility and Certainty Coping with Partial Inconsistency;Constraint Propagation with Imprecise Conditional Probabilities;A Symbolic Approach to Reasoning with Linguistic Quantifiers;Argumentative inference in uncertain and inconsistent knowledge bases;Updating with Belief Functions, Ordinal Conditioning Functions and Possibility Measures;A Principled Analysis of Merging Operations in Possibilistic Logic;Decision-making Under Ordinal Preferences and Comparative Uncertainty;A fuzzy relation-based extension of Reggia's relational model for diagnosis handling uncertain and incomplete information;An Ordinal View of Independence with Application to Plausible Reasoning;Graphical readings of possibilistic logic bases
116,101881,A Complete Calculus for Possibilistic Logic Programming with Fuzzy Propositional Variables
116,101882,On Modal Logics for Qualitative Possibility in a Fuzzy Setting;Combining Multiple-Valued Logics in Modular Expert Systems;A Complete Calculus for Possibilistic Logic Programming with Fuzzy Propositional Variables;A Symbolic Approach to Reasoning with Linguistic Quantifiers
116,135514,Combining Multiple-Valued Logics in Modular Expert Systems;Incremental Map Generation by Low Cost Robots Based on Possibility/Necessity Grids
116,140331,An Ordinal View of Independence with Application to Plausible Reasoning
116,147024,Constraint Propagation with Imprecise Conditional Probabilities
116,140332,Tableaux for Dynamic Logic of Propositional Assignments;An Ordinal View of Independence with Application to Plausible Reasoning
116,46213,Compiling Possibilistic Networks: Alternative Approaches to Possibilistic Inference
116,140341,Combining Multiple-Valued Logics in Modular Expert Systems;On Modal Logics for Qualitative Possibility in a Fuzzy Setting
116,8824,A Symbolic Approach to Reasoning with Linguistic Quantifiers;Incremental Map Generation by Low Cost Robots Based on Possibility/Necessity Grids;Evolution of Ideas: A Novel Memetic Algorithm Based on Semantic Networks
116,31137,On the Qualitative Comparison of Decisions Having Positive and Negative Features;On the Complexity of Decision Making in Possibilistic Decision Trees;Decision-making Under Ordinal Preferences and Comparative Uncertainty
116,31138,On the Complexity of Decision Making in Possibilistic Decision Trees;Compiling Possibilistic Networks: Alternative Approaches to Possibilistic Inference
116,31139,On the Complexity of Decision Making in Possibilistic Decision Trees
116,147023,Combining Multiple-Valued Logics in Modular Expert Systems
116,46215,Compiling Possibilistic Networks: Alternative Approaches to Possibilistic Inference
116,55151,Optimization of Fuzzy Semantic Networks Based on Galois Lattice and Bayesian Formalism;Fuzzy Knowledge Representation, Learning and Optimization with Bayesian Analysis in Fuzzy Semantic Networks;Use of Fuzzy Sets in Semantic Nets for Providing On-Line Assistance to User of Technological Systems;Softening Fuzzy Knowledge Representation Tool with the Learning of New Words in Natural Language;Uncertain and Approximative Knowledge Representation to Reasoning on Classification with a Fuzzy Networks Based System;Possibilistic Pertinence Feedback and Semantic Networks for Goal's Extraction;Loopy Belief Propagation in Bayesian Networks : origin and possibilistic perspectives;Pertinent Information retrieval based on Possibilistic Bayesian network : origin and possibilistic perspective;ViQIE: A New Approach for Visual Query Interpretation and Extraction;Fuzzy Knowledge Representation Based on Possibilistic and Necessary Bayesian Networks;VIQI: A New Approach for Visual Interpretation of Deep Web Query Interfaces;A Fuzzy Approach for Pertinent Information Extraction from Web Resources;Relevance Feedback for Goal's Extraction from Fuzzy Semantic Networks
116,68614,Loopy Belief Propagation in Bayesian Networks : origin and possibilistic perspectives;A Fuzzy Approach for Pertinent Information Extraction from Web Resources
116,140340,Combining Multiple-Valued Logics in Modular Expert Systems;On Modal Logics for Qualitative Possibility in a Fuzzy Setting
116,68636,Fuzzy Knowledge Representation Based on Possibilistic and Necessary Bayesian Networks
116,68637,Fuzzy Knowledge Representation Based on Possibilistic and Necessary Bayesian Networks
134,87394,Selecting Computations: Theory and Applications;VOI-aware MCTS;MCTS Based on Simple Regret
134,46343,Common dependence on earthquake magnitudes for the trapped particles bursts approaching the earthquake;Aspects of Electrodynamics Modified by Some Dimension-five Lorentz Violating Interactions;Rollout Sampling Policy Iteration for Decentralized POMDPs
134,46359,Online Stochastic Optimization under Correlated Bandit Feedback;Regret Bounds for Reinforcement Learning with Policy Advice;RAPID: A Reachable Anytime Planner for Imprecisely-sensed Domains;CORL: A Continuous-state Offset-dynamics Reinforcement Learner
134,31088,Extended Lifted Inference with Joint Formulas
134,72745,Generic Preferences over Subsets of Structured Objects;Simple Regret Optimization in Online Planning for Markov Decision Processes;Unstructuring User Preferences: Efficient Non-Parametric Utility Revelation;Cost-Sharing in Bayesian Knowledge Bases;Online Speedup Learning for Optimal Planning
